Date,Stock,Open,High,Low,Close,Adj Close,Volume
05/01/2022,NVDA,28.9489994,29.41600037,27.53300095,27.60400009,27.56242371,498064000
06/01/2022,NVDA,27.63999939,28.43799973,27.06500053,28.1779995,28.13556099,454186000
07/01/2022,NVDA,28.14100075,28.42200089,27.05699921,27.24699974,27.20596123,409939000
10/01/2022,NVDA,26.58099937,27.46899986,25.6439991,27.39999962,27.35873032,594681000
11/01/2022,NVDA,27.32299995,28.06500053,26.8390007,27.81699944,27.77510071,404089000
12/01/2022,NVDA,28.06699944,28.59499931,27.6079998,27.99900055,27.95682716,383413000
13/01/2022,NVDA,28.37899971,28.47999954,26.49799919,26.57500076,26.53497314,540171000
14/01/2022,NVDA,26.29999924,27.1970005,26.20999908,26.94199944,26.9014225,395832000
18/01/2022,NVDA,26.26000023,26.63800049,25.77000046,25.90299988,25.86398506,424270000
19/01/2022,NVDA,26.07900047,26.54299927,25.05200005,25.06699944,25.02924156,488315000
20/01/2022,NVDA,25.30400085,25.57900047,24.07799911,24.14999962,24.11362457,435181000
21/01/2022,NVDA,23.50699997,24.82299995,23.26300049,23.37400055,23.33879471,718958000
24/01/2022,NVDA,22.32999992,23.37999916,20.88800049,23.37199974,23.33679771,913982000
25/01/2022,NVDA,22.54599953,22.94300079,22,22.3239994,22.29037285,664616000
26/01/2022,NVDA,23.23999977,24.05699921,22.29999924,22.77199936,22.73770332,755959000
27/01/2022,NVDA,23.56800079,23.99500084,21.67499924,21.94400024,21.91094589,573353000
28/01/2022,NVDA,22.01199913,22.8579998,21.29599953,22.84000015,22.80559921,543774000
31/01/2022,NVDA,23.18199921,24.50900078,23.05200005,24.48600006,24.44911957,564680000
01/02/2022,NVDA,25.10400009,25.14500046,23.88999939,24.63800049,24.60089111,518925000
02/02/2022,NVDA,25.79400063,25.81699944,24.5529995,25.24200058,25.2039814,543419000
03/02/2022,NVDA,24.45800018,25.07699966,23.78000069,23.94799995,23.91193199,410178000
04/02/2022,NVDA,23.97200012,24.63500023,23.63199997,24.31900024,24.28237152,354829000
07/02/2022,NVDA,24.37199974,25.18199921,24.20199966,24.72800064,24.69075584,376868000
08/02/2022,NVDA,24.35899925,25.22999954,23.97999954,25.1079998,25.0701828,410359000
09/02/2022,NVDA,25.62199974,26.72500038,25.35300064,26.70499992,26.66477776,524282000
10/02/2022,NVDA,25.99500084,26.92499924,25.60000038,25.8239994,25.78510475,513200000
11/02/2022,NVDA,25.91600037,26.15200043,23.77300072,23.9489994,23.91292763,605472000
14/02/2022,NVDA,23.93400002,24.875,23.75499916,24.2670002,24.23044968,440424000
15/02/2022,NVDA,24.9489994,26.54500008,24.7840004,26.49500084,26.45509338,699869000
16/02/2022,NVDA,26.25900078,26.58200073,25.55200005,26.51099968,26.47107124,732676000
17/02/2022,NVDA,25.62999916,25.78499985,24.16500092,24.50699997,24.47009087,810595000
18/02/2022,NVDA,24.66799927,24.98600006,23.10000038,23.6420002,23.60639191,761255000
22/02/2022,NVDA,23.03499985,24.06399918,23,23.38999939,23.35476875,633422000
23/02/2022,NVDA,23.80200005,24.15500069,22.3010006,22.38699913,22.35327911,566511000
24/02/2022,NVDA,21.01499939,23.79999924,20.88999939,23.74799919,23.7122345,735801000
25/02/2022,NVDA,23.72100067,24.21699905,23.38100052,24.15699959,24.12061691,528866000
28/02/2022,NVDA,23.99200058,24.66500092,23.70700073,24.38500023,24.34827042,477319000
01/03/2022,NVDA,24.29100037,24.37700081,23.13199997,23.47699928,23.44163895,412056000
02/03/2022,NVDA,23.75600052,24.4090004,23.41500092,24.21999931,24.18763924,389642000
03/03/2022,NVDA,24.26199913,24.32600021,23.46899986,23.7140007,23.68231583,365095000
04/03/2022,NVDA,23.38400078,23.68000031,22.48200035,22.93600082,22.90535355,431415000
07/03/2022,NVDA,22.81699944,23.03300095,21.32999992,21.35199928,21.32347298,450821000
08/03/2022,NVDA,21.30900002,22.37299919,20.64999962,21.51399994,21.4852581,557467000
09/03/2022,NVDA,22.38699913,23.21999931,22.24699974,23.01399994,22.98325348,492742000
10/03/2022,NVDA,22.53100014,22.78800011,21.88199997,22.65800095,22.62772751,428066000
11/03/2022,NVDA,23.02199936,23.14500046,22.04599953,22.10000038,22.07047081,367209000
14/03/2022,NVDA,21.86899948,22.26199913,21.1590004,21.32999992,21.30150223,385354000
15/03/2022,NVDA,21.51799965,23.03800011,21.3220005,22.97299957,22.94230652,491996000
16/03/2022,NVDA,23.5,24.59700012,23.17200089,24.49600029,24.46327019,671422000
17/03/2022,NVDA,24.12000084,24.84199905,23.90600014,24.76600075,24.73291397,471941000
18/03/2022,NVDA,24.79899979,26.56900024,24.62400055,26.45299911,26.41765594,730719000
21/03/2022,NVDA,26.50699997,27.15200043,25.96699905,26.73399925,26.69828033,591727000
22/03/2022,NVDA,26.72699928,27.23800087,26.0720005,26.52400017,26.48856354,547007000
23/03/2022,NVDA,26.12599945,26.61199951,25.57500076,25.63400078,25.59975433,502120000
24/03/2022,NVDA,26.16600037,28.31999969,25.90699959,28.14999962,28.11238861,877379000
25/03/2022,NVDA,27.88599968,28.3579998,27.27099991,27.69199944,27.65500259,579016000
28/03/2022,NVDA,27.75600052,28.25,27.20599937,28.21899986,28.1812973,425494000
29/03/2022,NVDA,28.69499969,28.94599915,27.97999954,28.65600014,28.61771584,488984000
30/03/2022,NVDA,28.30400085,28.49600029,27.50300026,27.69000053,27.6530056,463487000
31/03/2022,NVDA,27.78199959,28.24799919,27.27000046,27.2859993,27.24954796,523440000
01/04/2022,NVDA,27.375,27.49600029,26.2670002,26.71199989,26.67630959,517235000
04/04/2022,NVDA,26.72800064,27.55800056,26.61300087,27.36000061,27.32344627,397120000
05/04/2022,NVDA,27.25399971,27.31900024,25.81999969,25.93099976,25.89635468,436615000
06/04/2022,NVDA,24.93400002,25.29999924,24.00300026,24.40699959,24.37438965,703833000
07/04/2022,NVDA,24.44099998,24.72200012,23.47800064,24.20800018,24.17565918,557992000
08/04/2022,NVDA,23.91699982,23.92300034,23.06200027,23.11899948,23.08811188,524781000
11/04/2022,NVDA,22.2140007,22.31999969,21.65999985,21.91699982,21.88771629,575207000
12/04/2022,NVDA,22.53700066,22.72500038,21.28199959,21.50399971,21.47526741,662258000
13/04/2022,NVDA,21.72800064,22.5,21.45499992,22.20299911,22.17333412,516943000
14/04/2022,NVDA,22.50499916,22.77700043,21.16300011,21.25799942,21.22959709,569097000
18/04/2022,NVDA,21.20000076,22.08799934,21.07900047,21.78300095,21.75389862,525701000
19/04/2022,NVDA,21.71999931,22.37299919,21.31399918,22.19799995,22.16834068,512781000
